Economy,Code,Region,Income group
Malawi,MWI,Sub-Saharan Africa,Low income
Malaysia,MYS,East Asia & Pacific,Upper middle income
Maldives,MDV,South Asia,Upper middle income
Mali,MLI,Sub-Saharan Africa,Low income
Malta,MLT,Middle East & North Africa,High income
Marshall Islands,MHL,East Asia & Pacific,Upper middle income
Mauritania,MRT,Sub-Saharan Africa,Lower middle income
Mauritius,MUS,Sub-Saharan Africa,Upper middle income
Mexico,MEX,Latin America & Caribbean,Upper middle income
"Micronesia, Fed. Sts.",FSM,East Asia & Pacific,Lower middle income
Moldova,MDA,Europe & Central Asia,Lower middle income
Monaco,MCO,Europe & Central Asia,High income
Mongolia,MNG,East Asia & Pacific,Lower middle income
Montenegro,MNE,Europe & Central Asia,Upper middle income
Morocco,MAR,Middle East & North Africa,Lower middle income
Mozambique,MOZ,Sub-Saharan Africa,Low income
Myanmar,MMR,East Asia & Pacific,Lower middle income
Namibia,NAM,Sub-Saharan Africa,Upper middle income
Nauru,NRU,East Asia & Pacific,Upper middle income
Nepal,NPL,South Asia,Low income
Netherlands,NLD,Europe & Central Asia,High income
New Caledonia,NCL,East Asia & Pacific,High income
New Zealand,NZL,East Asia & Pacific,High income
Nicaragua,NIC,Latin America & Caribbean,Lower middle income
Niger,NER,Sub-Saharan Africa,Low income
Nigeria,NGA,Sub-Saharan Africa,Lower middle income
North Macedonia,MKD,Europe & Central Asia,Upper middle income
Northern Mariana Islands,MNP,East Asia & Pacific,High income
Norway,NOR,Europe & Central Asia,High income
Oman,OMN,Middle East & North Africa,High income
Pakistan,PAK,South Asia,Lower middle income
Palau,PLW,East Asia & Pacific,High income
Panama,PAN,Latin America & Caribbean,High income
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income
Paraguay,PRY,Latin America & Caribbean,Upper middle income
Peru,PER,Latin America & Caribbean,Upper middle income
Philippines,PHL,East Asia & Pacific,Lower middle income
Poland,POL,Europe & Central Asia,High income
Portugal,PRT,Europe & Central Asia,High income
Puerto Rico,PRI,Latin America & Caribbean,High income
Qatar,QAT,Middle East & North Africa,High income
Romania,ROU,Europe & Central Asia,Upper middle income
Russian Federation,RUS,Europe & Central Asia,Upper middle income
Rwanda,RWA,Sub-Saharan Africa,Low income
Samoa,WSM,East Asia & Pacific,Upper middle income
San Marino,SMR,Europe & Central Asia,High income
São Tomé and Principe,STP,Sub-Saharan Africa,Lower middle income
Saudi Arabia,SAU,Middle East & North Africa,High income
Senegal,SEN,Sub-Saharan Africa,Lower middle income
Serbia,SRB,Europe & Central Asia,Upper middle income
Seychelles,SYC,Sub-Saharan Africa,High income
Sierra Leone,SLE,Sub-Saharan Africa,Low income
Singapore,SGP,East Asia & Pacific,High income
Sint Maarten (Dutch part),SXM,Latin America & Caribbean,High income
Slovak Republic,SVK,Europe & Central Asia,High income
Slovenia,SVN,Europe & Central Asia,High income
Solomon Islands,SLB,East Asia & Pacific,Lower middle income
Somalia,SOM,Sub-Saharan Africa,Low income
South Africa,ZAF,Sub-Saharan Africa,Upper middle income
South Sudan,SSD,Sub-Saharan Africa,Low income
Spain,ESP,Europe & Central Asia,High income
Sri Lanka,LKA,South Asia,Upper middle income
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income
St. Lucia,LCA,Latin America & Caribbean,Upper middle income
St. Martin (French part),MAF,Latin America & Caribbean,High income
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income
Sudan,SDN,Sub-Saharan Africa,Lower middle income
Suriname,SUR,Latin America & Caribbean,Upper middle income
Sweden,SWE,Europe & Central Asia,High income
Switzerland,CHE,Europe & Central Asia,High income
Syrian Arab Republic,SYR,Middle East & North Africa,Low income
"Taiwan, China",TWN,East Asia & Pacific,High income
Tajikistan,TJK,Europe & Central Asia,Low income
Tanzania,TZA,Sub-Saharan Africa,Low income
Thailand,THA,East Asia & Pacific,Upper middle income
Timor-Leste,TLS,East Asia & Pacific,Lower middle income
Togo,TGO,Sub-Saharan Africa,Low income
Tonga,TON,East Asia & Pacific,Upper middle income
Trinidad and Tobago,TTO,Latin America & Caribbean,High income
Tunisia,TUN,Middle East & North Africa,Lower middle income
Turkey,TUR,Europe & Central Asia,Upper middle income
Turkmenistan,TKM,Europe & Central Asia,Upper middle income
Turks and Caicos Islands,TCA,Latin America & Caribbean,High income
Tuvalu,TUV,East Asia & Pacific,Upper middle income
Uganda,UGA,Sub-Saharan Africa,Low income
Ukraine,UKR,Europe & Central Asia,Lower middle income
United Arab Emirates,ARE,Middle East & North Africa,High income
United Kingdom,GBR,Europe & Central Asia,High income
United States,USA,North America,High income
Uruguay,URY,Latin America & Caribbean,High income
Uzbekistan,UZB,Europe & Central Asia,Lower middle income
Vanuatu,VUT,East Asia & Pacific,Lower middle income
"Venezuela, RB",VEN,Latin America & Caribbean,Upper middle income
Vietnam,VNM,East Asia & Pacific,Lower middle income
Virgin Islands (U.S.),VIR,Latin America & Caribbean,High income
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income
"Yemen, Rep.",YEM,Middle East & North Africa,Low income
Zambia,ZMB,Sub-Saharan Africa,Lower middle income
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income
